Date,region,Case,Count
2020-04-19,Jazan,Cases,0
2020-04-19,Mecca,Cases,604
2020-04-19,Medina,Cases,121
2020-04-19,Najran,Cases,3
2020-04-19,Northern Borders,Cases,0
2020-04-19,Qassim,Cases,3
2020-04-19,Riyadh,Cases,202
2020-04-19,Tabuk,Cases,0
2020-04-20,Al Bahah,Cases,4
2020-04-20,Al Jouf,Cases,1
2020-04-20,Asir,Cases,2
2020-04-20,Eastern Region,Cases,157
2020-04-20,Hail,Cases,0
2020-04-20,Jazan,Cases,0
2020-04-20,Mecca,Cases,515
2020-04-20,Medina,Cases,299
2020-04-20,Najran,Cases,0
2020-04-20,Northern Borders,Cases,2
2020-04-20,Qassim,Cases,8
2020-04-20,Riyadh,Cases,148
2020-04-20,Tabuk,Cases,11
2020-04-21,Al Bahah,Cases,0
2020-04-21,Al Jouf,Cases,0
2020-04-21,Asir,Cases,18
2020-04-21,Eastern Region,Cases,328
2020-04-21,Hail,Cases,2
2020-04-21,Jazan,Cases,4
2020-04-21,Mecca,Cases,444
2020-04-21,Medina,Cases,138
2020-04-21,Najran,Cases,1
2020-04-21,Northern Borders,Cases,0
2020-04-21,Qassim,Cases,2
2020-04-21,Riyadh,Cases,167
2020-04-21,Tabuk,Cases,37
2020-04-22,Al Bahah,Cases,3
2020-04-22,Al Jouf,Cases,0
2020-04-22,Asir,Cases,1
2020-04-22,Eastern Region,Cases,192
2020-04-22,Hail,Cases,9
2020-04-22,Jazan,Cases,0
2020-04-22,Mecca,Cases,461
2020-04-22,Medina,Cases,298
2020-04-22,Najran,Cases,1
2020-04-22,Northern Borders,Cases,1
2020-04-22,Qassim,Cases,24
2020-04-22,Riyadh,Cases,158
2020-04-22,Tabuk,Cases,10
2020-04-23,Al Bahah,Cases,1
2020-04-23,Al Jouf,Cases,6
2020-04-23,Asir,Cases,21
2020-04-23,Eastern Region,Cases,177
2020-04-23,Hail,Cases,7
2020-04-23,Jazan,Cases,20
2020-04-23,Mecca,Cases,495
2020-04-23,Medina,Cases,278
2020-04-23,Najran,Cases,0
2020-04-23,Northern Borders,Cases,3
2020-04-23,Qassim,Cases,15
2020-04-23,Riyadh,Cases,141
2020-04-23,Tabuk,Cases,8
2020-04-24,Al Bahah,Cases,8
2020-04-24,Al Jouf,Cases,0
2020-04-24,Asir,Cases,3
2020-04-24,Eastern Region,Cases,148
2020-04-24,Hail,Cases,0
2020-04-24,Jazan,Cases,20
2020-04-24,Mecca,Cases,665
2020-04-24,Medina,Cases,133
2020-04-24,Najran,Cases,0
2020-04-24,Northern Borders,Cases,5
2020-04-24,Qassim,Cases,30
2020-04-24,Riyadh,Cases,183
2020-04-24,Tabuk,Cases,2
2020-04-25,Al Bahah,Cases,0
2020-04-25,Al Jouf,Cases,0
2020-04-25,Asir,Cases,2
2020-04-25,Eastern Region,Cases,109
2020-04-25,Hail,Cases,0
2020-04-25,Jazan,Cases,138
2020-04-25,Mecca,Cases,402
2020-04-25,Medina,Cases,217
2020-04-25,Najran,Cases,0
2020-04-25,Northern Borders,Cases,1
2020-04-25,Qassim,Cases,74
2020-04-25,Riyadh,Cases,275
2020-04-25,Tabuk,Cases,5
2020-04-26,Al Bahah,Cases,5
2020-04-26,Al Jouf,Cases,2
2020-04-26,Asir,Cases,2
2020-04-26,Eastern Region,Cases,227
2020-04-26,Hail,Cases,3
2020-04-26,Jazan,Cases,128
2020-04-26,Mecca,Cases,517
2020-04-26,Medina,Cases,203
2020-04-26,Najran,Cases,0
2020-04-26,Northern Borders,Cases,0
2020-04-26,Qassim,Cases,4
2020-04-26,Riyadh,Cases,194
2020-04-26,Tabuk,Cases,4
2020-04-27,Al Bahah,Cases,0
2020-04-27,Al Jouf,Cases,1
2020-04-27,Asir,Cases,6
2020-04-27,Eastern Region,Cases,118
2020-04-27,Hail,Cases,1
2020-04-27,Jazan,Cases,1
2020-04-27,Mecca,Cases,634
2020-04-27,Medina,Cases,275
2020-04-27,Najran,Cases,0
2020-04-27,Northern Borders,Cases,0
2020-04-27,Qassim,Cases,8
2020-04-27,Riyadh,Cases,193
2020-04-27,Tabuk,Cases,29
2020-04-28,Al Bahah,Cases,5
2020-04-28,Al Jouf,Cases,0
2020-04-28,Asir,Cases,7
2020-04-28,Eastern Region,Cases,185
2020-04-28,Hail,Cases,0
2020-04-28,Jazan,Cases,43
2020-04-28,Mecca,Cases,592
2020-04-28,Medina,Cases,227
2020-04-28,Najran,Cases,1
2020-04-28,Northern Borders,Cases,0
2020-04-28,Qassim,Cases,43
2020-04-28,Riyadh,Cases,215
2020-04-28,Tabuk,Cases,7
2020-04-29,Al Bahah,Cases,1
2020-04-29,Al Jouf,Cases,0
2020-04-29,Asir,Cases,1
2020-04-29,Eastern Region,Cases,212
2020-04-29,Hail,Cases,2
2020-04-29,Jazan,Cases,0
2020-04-29,Mecca,Cases,538
2020-04-29,Medina,Cases,119
2020-04-29,Najran,Cases,0
2020-04-29,Northern Borders,Cases,1
2020-04-29,Qassim,Cases,12
2020-04-29,Riyadh,Cases,458
2020-04-29,Tabuk,Cases,7
2020-04-30,Al Bahah,Cases,6
2020-04-30,Al Jouf,Cases,0
2020-04-30,Asir,Cases,0
2020-04-30,Eastern Region,Cases,344
2020-04-30,Hail,Cases,2
2020-04-30,Jazan,Cases,37
2020-04-30,Mecca,Cases,377
2020-04-30,Medina,Cases,246
2020-04-30,Najran,Cases,0
2020-04-30,Northern Borders,Cases,2
2020-04-30,Qassim,Cases,12
2020-04-30,Riyadh,Cases,311
2020-04-30,Tabuk,Cases,7
2020-05-01,Al Bahah,Cases,3
