Date,City,Active cases,Cases,Mortalities,Recoveries,CFR Percent,Recovary Percent
2020-03-17,As Sufairy,0,0,0,0,0.0,0.0
2020-03-17,Bqeeq,0,0,0,0,0.0,0.0
2020-03-17,Dahran,7,7,0,0,0.0,0.0
2020-03-17,Dammam,11,12,0,1,0.0,8.333333333333334
2020-03-17,Hafr Al Batin,0,0,0,0,0.0,0.0
2020-03-17,Hardh,0,0,0,0,0.0,0.0
2020-03-17,Hufof,2,2,0,0,0.0,0.0
2020-03-17,Jubail,0,0,0,0,0.0,0.0
2020-03-17,Khafji,0,0,0,0,0.0,0.0
2020-03-17,Khobar,0,0,0,0,0.0,0.0
2020-03-17,Mulayjah,0,0,0,0,0.0,0.0
2020-03-17,Nairyah,0,0,0,0,0.0,0.0
2020-03-17,Qaryat Al Ulya,0,0,0,0,0.0,0.0
2020-03-17,Qatif,36,41,0,5,0.0,12.195121951219512
2020-03-17,Ras Tanura,0,0,0,0,0.0,0.0
2020-03-17,Safwa,0,0,0,0,0.0,0.0
2020-03-17,Saihat,0,0,0,0,0.0,0.0
2020-03-17,Salwa,0,0,0,0,0.0,0.0
2020-03-17,Samodah,0,0,0,0,0.0,0.0
2020-03-17,Urayarah,0,0,0,0,0.0,0.0
2020-03-18,AL Oyoun,0,0,0,0,0.0,0.0
2020-03-18,Adh Dhibiyyah,0,0,0,0,0.0,0.0
2020-03-18,Al Batahaa,0,0,0,0,0.0,0.0
2020-03-18,Al Jafr,0,0,0,0,0.0,0.0
2020-03-18,Al Mubarraz,0,0,0,0,0.0,0.0
2020-03-18,Al Qaysomah,0,0,0,0,0.0,0.0
2020-03-18,Al Suyariah,0,0,0,0,0.0,0.0
2020-03-18,Ar Ruqi,0,0,0,0,0.0,0.0
2020-03-18,As Sufairy,0,0,0,0,0.0,0.0
2020-03-18,Bqeeq,0,0,0,0,0.0,0.0
2020-03-18,Dahran,7,7,0,0,0.0,0.0
