Date,City,Case,Count
2020-03-21,Safwa,Active cases,0
2020-03-21,Saihat,Active cases,0
2020-03-21,Salwa,Active cases,0
2020-03-21,Samodah,Active cases,0
2020-03-21,Urayarah,Active cases,0
2020-03-22,AL Oyoun,Active cases,0
2020-03-22,Adh Dhibiyyah,Active cases,0
2020-03-22,Al Batahaa,Active cases,0
2020-03-22,Al Jafr,Active cases,0
2020-03-22,Al Mubarraz,Active cases,0
2020-03-22,Al Qaysomah,Active cases,0
2020-03-22,Al Suyariah,Active cases,0
2020-03-22,Ar Ruqi,Active cases,0
2020-03-22,As Sufairy,Active cases,0
2020-03-22,Bqeeq,Active cases,0
2020-03-22,Dahran,Active cases,10
2020-03-22,Dammam,Active cases,37
2020-03-22,Hafr Al Batin,Active cases,1
2020-03-22,Hardh,Active cases,0
2020-03-22,Hufof,Active cases,9
2020-03-22,Jubail,Active cases,0
2020-03-22,Khafji,Active cases,0
2020-03-22,Khobar,Active cases,3
2020-03-22,Mulayjah,Active cases,0
2020-03-22,Nairyah,Active cases,1
2020-03-22,Qaryat Al Ulya,Active cases,0
2020-03-22,Qatif,Active cases,45
2020-03-22,Ras Tanura,Active cases,0
2020-03-22,Safwa,Active cases,0
2020-03-22,Saihat,Active cases,0
2020-03-22,Salwa,Active cases,0
2020-03-22,Samodah,Active cases,0
2020-03-22,Urayarah,Active cases,0
2020-03-23,AL Oyoun,Active cases,0
2020-03-23,Adh Dhibiyyah,Active cases,0
2020-03-23,Al Batahaa,Active cases,0
2020-03-23,Al Jafr,Active cases,0
2020-03-23,Al Mubarraz,Active cases,0
2020-03-23,Al Qaysomah,Active cases,0
2020-03-23,Al Suyariah,Active cases,0
2020-03-23,Ar Ruqi,Active cases,0
2020-03-23,As Sufairy,Active cases,0
2020-03-23,Bqeeq,Active cases,0
2020-03-23,Dahran,Active cases,10
2020-03-23,Dammam,Active cases,40
2020-03-23,Hafr Al Batin,Active cases,1
2020-03-23,Hardh,Active cases,0
2020-03-23,Hufof,Active cases,9
2020-03-23,Jubail,Active cases,0
2020-03-23,Khafji,Active cases,0
2020-03-23,Khobar,Active cases,3
2020-03-23,Mulayjah,Active cases,0
2020-03-23,Nairyah,Active cases,1
2020-03-23,Qaryat Al Ulya,Active cases,0
2020-03-23,Qatif,Active cases,48
2020-03-23,Ras Tanura,Active cases,0
2020-03-23,Safwa,Active cases,0
2020-03-23,Saihat,Active cases,0
2020-03-23,Salwa,Active cases,0
2020-03-23,Samodah,Active cases,0
2020-03-23,Urayarah,Active cases,0
2020-03-24,AL Oyoun,Active cases,0
2020-03-24,Adh Dhibiyyah,Active cases,0
2020-03-24,Al Batahaa,Active cases,0
2020-03-24,Al Jafr,Active cases,0
2020-03-24,Al Mubarraz,Active cases,0
2020-03-24,Al Qaysomah,Active cases,0
2020-03-24,Al Suyariah,Active cases,0
2020-03-24,Ar Ruqi,Active cases,0
2020-03-24,As Sufairy,Active cases,0
2020-03-24,Bqeeq,Active cases,0
2020-03-24,Dahran,Active cases,12
2020-03-24,Dammam,Active cases,46
2020-03-24,Hafr Al Batin,Active cases,1
2020-03-24,Hardh,Active cases,0
2020-03-24,Hufof,Active cases,8
2020-03-24,Jubail,Active cases,0
2020-03-24,Khafji,Active cases,0
2020-03-24,Khobar,Active cases,5
2020-03-24,Mulayjah,Active cases,0
2020-03-24,Nairyah,Active cases,1
2020-03-24,Qaryat Al Ulya,Active cases,0
2020-03-24,Qatif,Active cases,54
2020-03-24,Ras Tanura,Active cases,0
2020-03-24,Safwa,Active cases,0
2020-03-24,Saihat,Active cases,0
2020-03-24,Salwa,Active cases,0
2020-03-24,Samodah,Active cases,0
2020-03-24,Urayarah,Active cases,0
2020-03-25,AL Oyoun,Active cases,0
2020-03-25,Adh Dhibiyyah,Active cases,0
2020-03-25,Al Batahaa,Active cases,0
2020-03-25,Al Jafr,Active cases,0
2020-03-25,Al Mubarraz,Active cases,0
2020-03-25,Al Qaysomah,Active cases,0
2020-03-25,Al Suyariah,Active cases,0
2020-03-25,Ar Ruqi,Active cases,0
2020-03-25,As Sufairy,Active cases,0
2020-03-25,Bqeeq,Active cases,0
2020-03-25,Dahran,Active cases,13
2020-03-25,Dammam,Active cases,59
2020-03-25,Hafr Al Batin,Active cases,1
2020-03-25,Hardh,Active cases,0
2020-03-25,Hufof,Active cases,8
2020-03-25,Jubail,Active cases,1
2020-03-25,Khafji,Active cases,0
2020-03-25,Khobar,Active cases,10
2020-03-25,Mulayjah,Active cases,0
2020-03-25,Nairyah,Active cases,1
2020-03-25,Qaryat Al Ulya,Active cases,0
2020-03-25,Qatif,Active cases,60
2020-03-25,Ras Tanura,Active cases,0
